scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level,source_link,row_index
Notohypsilophodon,Notohypsilophodon,Southern Hypsilophodon,HERBIVORE,2.0,15.0,0.8,Bipedal,Late Cretaceous,South America,Ornithopod dinosaur,1984?,Argentina,Small herbivorous dinosaur,Unknown,http://en.wikipedia.org/wiki/Notohypsilophodon,854
Ozraptor,Ozraptor,Australian thief,Carnivore,2.0,,N/A,bipedal,Middle Jurassic,Australia,Known from fragmentary fossil,1998,Western Australia,Known from partial limb bone,,https://en.wikipedia.org/wiki/Ozraptor,219
Gyposaurus,Gyposaurus,vulture lizard,Herbivore,3.0,200.0,1.5,Bipedal,Early Jurassic (Toarcian),Asia (China),"Prosauropod dinosaur, possibly a juvenile form",1920,"Guizhou Province, China",Important for understanding prosauropod evolution,Low,https://en.wikipedia.org/wiki/Gyposaurus,641
Abrictosaurus,Abrictosaurus,Wakeful lizard,HERBIVORE,1.5,unknown,0.5,Bipedal,Early Jurassic,South Africa,Small herbivore,1974,South Africa,Unique teeth,Medium,https://en.wikipedia.org/wiki/Abrictosaurus,1
Fukuiraptor,Fukuiraptor,Sand lizard,Herbivore,4.0,300.0,1.2,Bipedal,Early Jurassic,USA,Early sauropodomorph,1889,USA,Slender build,Medium,en.wikipedia.org/wiki/Fukuiraptor,112
Jinfengopteryx,Jinfengopteryx,Jinfeng feather,Carnivore,0.7,2.0,0.3,Bipedal,Early Cretaceous,Asia (China),Feathered troodontid,01/01/2005,China,"Small, bird-like dinosaur",High,https://en.wikipedia.org/wiki/Jinfengopteryx,698
Ubirajara,Ubirajara,Ubirajara dancer,Carnivore,2.5,,1.0,BIPEDAL,Late Cretaceous,South America,Theropod dinosaur,2020,Brazil,Small feathered theropod,Unknown,https://en.wikipedia.org/wiki/Ubirajara,999999
Pteropelyx,Pteropelyx,Wing fin,HERBIVORE,6.0,2000.0,2.0,Quadrupedal,Late Cretaceous,North America,Hadrosaur dinosaur,1900,,Medium-sized hadrosaur,Medium,https://en.wikipedia.org/wiki/Pteropelyx,951
Menucocelsior,Menucocelsior,Menuco noble,Herbivore,8.0,7000.0,3.5,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2021,Argentina,Large sauropod,Large,https://en.wikipedia.org/wiki/Menucocelsior,1392
Eobrontosaurus,Eobrontosaurus,Ancient thunder lizard,,20.0,20000.0,6.0,Quadrupedal,Jurassic,North America,Sauropod dinosaur,2000,USA,Large sauropod,Large,https://en.wikipedia.org/wiki/Eobrontosaurus,1291
Pilmatueia,Pilmatueia,Pilmatue lizard,Herbivore,43.88,4000.0,3.0,two legs?,Late Jurassic,South America,Sauropod dinosaur,2018?,Argentina,Medium sauropod,,https://en.wikipedia.org/wiki/Pilmatueia,1433
Bolong,Bolong,Bo dragon,HERBIVORE,4.0,approx 700,1.8,Quadrupedal,Early Cretaceous (Aptian),Asia (China),Basal hadrosauroid with primitive features,2010,"Yixian Formation, Hebei Province",Well-preserved skeleton; small duckbill relative,Medium,https://en.wikipedia.org/wiki/Bolong,441
Tyrannosaurus,Tyrannosaurus,Tyrant lizard,Carnivore,12.3,,3.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,1905?,USA,Large predator,med,https://en.wikipedia.org/wiki/Tyrannosaurus,1136
Calvarius,Calvarius,Calvary (hill),Omnivore,1.5,20.0,0.5,Bi-pedal,Late Cretaceous,Europe,Theropod dinosaur,2020,Spain,Small theropod,Small,https://en.wikipedia.org/wiki/Calvarius,1256
Huabeisaurus,Huabeisaurus,Huabei lizard,Herbivore,18.0,14000.0,,Quadrupedal,Late Cretaceous,Asia (China),Large titanosaur sauropod,2001,China,Massive long-necked herbivore,Low,https://en.wikipedia.org/wiki/Huabeisaurus,663
Rhomaleopakhus,Rhomaleopakhus,Strong arm,Carnivore,6.0,4000.0,3.0,Bipedal,Late Jurassic,Europe,Theropod dinosaur,2016,Portugal,Medium theropod,,https://en.wikipedia.org/wiki/Rhomaleopakhus,1452
Campananeyen,Campananeyen,Campana stone,Herbivore,10.0,8000.0,3.5,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2019,,Large sauropod,Large,https://en.wikipedia.org/wiki/Campananeyen,1257
Neosaurus,Neosaurus,New lizard,Carnivore,4.0,,2.0,Bipedal,Late Jurassic,Europe,Theropod dinosaur,2010,France,Medium theropod,Medium,https://en.wikipedia.org/wiki/Neosaurus,1408
Kritosaurus,Kritosaurus,Separated lizard,Herbivore,9.0,2500.0,3.5,Quadrupedal,LATE CRETACEOUS,United States (New Mexico),Possibly social; may have had a soft tissue crest on head,1904,"Ojo Alamo Formation, New Mexico",Arched nasal bone; possible crest,Medium,https://en.wikipedia.org/wiki/Kritosaurus,317
Hanwulosaurus,Hanwulosaurus,Hanwulo lizard,Herbivore,8.0,2000.0kg,2.5,Quadrupedal,Late Jurassic,Asia (China),Sauropod dinosaur known from vertebrae & limb bones,2001,"Inner Mongolia, China",Related to mamenchisaurids,Low,https://en.wikipedia.org/wiki/Hanwulosaurus,648
Karongasaurus,Karongasaurus,Karonga lizard,Herbivore,5.0,1500.0,2.0,Bipedal,Late Cretaceous,Africa,Small titanosaurian,2004,Malawi,"Compact body, long neck",Low,,709
Mahakala (genus also refers to a Buddhist diety),Mahakala,Great protector,Carnivore,1.5,50.0,0.7,bipedal,Late Cretaceous,Asia,Theropod dinosaur,2006,Mongolia,Small theropod,Small,https://en.wikipedia.org/wiki/Mahakala,1382
Dravidosaurus,Dravidosaurus,Dravido lizard,,5.0,2000.0,2.0, Quadrupedal,Late Cretaceous,Asia,Stegosaur dinosaur,1986,India,Medium stegosaur,Medium,https://en.wikipedia.org/wiki/Dravidosaurus,1282
Ronaldoraptor,Ronaldoraptor,Ronaldo thief,Carnivore,2.0,50.0,-1.0,Bipedal,Late Cretaceous,South America,,2019,Argentina,Small agile predator,Medium,https://en.wikipedia.org/wiki/Ronaldoraptor,972
Gobiraptor,Gobiraptor,Gobi thief,Omnivore,2.0,30.0,1.2,Bipedal,Late Cretaceous (Maastrichtian),Asia (Mongolia),Oviraptorid with thick jaws adapted for crushing,2019,"Nemegt Formation, Mongolia",Unusual jaw suggests dietary specialization,HIGH,https://en.wikipedia.org/wiki/Gobiraptor,627
Gongbusaurus,Gongbusaurus,Gongbu lizard,Herbivore,1.3,20.0,0.7,Bipedal,Late Jurassic (Oxfordian),Asia (China),Poorly known ornithischian; possibly a nomen dubium,1979,"Sichuan Province, China",Known from teeth; classification uncertain,Unknown,https://en.wikipedia.org/wiki/Gongbusaurus,632
Gastonia (genus also refers to a plant),Gastonia,Gastonia,HERBIVORE,6.0,3500.0,2.5,Quadrupedal,Jurassic,North America,Ankylosaur dinosaur,1998,USA,Medium ankylosaur,Medium,https://en.wikipedia.org/wiki/Gastonia,1306
Mnyamawamtuka,Mnyamawamtuka,Mnyama river neck,HERBIVORE,12.0,unknown,,Quadrupedal,Late Cretaceous,Africa,Sauropod dinosaur,2016,Tanzania,Large sauropod,Large,,1400
Bravasaurus,Bravasaurus,Brava lizard,,12.0,12000.0,4.0,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2020,Argentina,Large sauropod,Large,https://en.wikipedia.org/wiki/Bravasaurus,1248
Muyelensaurus,Muyelensaurus,Muyelen lizard,Herbivore,18.0,4000.0,6.0,quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,2007,Argentina,Medium-sized titanosaur,Unknown,https://en.wikipedia.org/wiki/Muyelensaurus,825
Caihong,Caihong,Rainbow,Omnivore,1.5,10.0,0.5,Bipedal,Late Jurassic,Asia,Theropod dinosaur...,2014,China,Small feathered theropod,Small,https://en.wikipedia.org/wiki/Caihong,1254
Lishulong,Lishulong,Lishu dragon,Herbivore,12.0,9000.0,4.0, Quadrupedal,late jurassic,Asia,Stegosaur dinosaur,2010,China,Large stegosaur,Large,https://en.wikipedia.org/wiki/Lishulong,1371
Kiyacursor,Kiyacursor,Kiya runner,Carnivore,2.0,50.0,1.0,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2017,Mongolia,Small theropod,Small,https://en.wikipedia.org/wiki/Kiyacursor,1354
Volgatitan,Volgatitan,Volga titan,Herbivore,25.0,35000.0,6.0,Quadripedal,Cretaceous,Europe,,01/01/2018,Russia,Large sauropod,Large,https://en.wikipedia.org/wiki/Volgatitan,1523
Sasayamagnomus,Sasayamagnomus,Sasayama giant,Herbivore,,3500.0,2.8,Bipedal,Late Cretaceous,Asia,Sauropod dinosaur,2020,,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Sasayamagnomus,1463
Martharaptor,Martharaptor,Martha thief,Carnivore,~3.0,90.0,1.5,Bipedal,LATE JURASSIC,North America,Theropod dinosaur...,2011,USA,Medium-sized raptor-like dinosaur,Unknown,https://en.wikipedia.org/wiki/Martharaptor,795
Hallopus,Hallopus,robber foot,,1.0,3.0,0.6,Bipedal,Late Jurassic (Tithonian),Europe (England),"Small crocodylomorph, often mistaken for a dinosaur",1869,"Cambridge, England","Agile runner, early relative of crocodilians",Medium,https://en.wikipedia.org/wiki/Hallopus,645
Shidaisaurus,Shidaisaurus,Shidai lizard,Carnivore,6.0,500.0,2.5,Bipedal,Early Jurassic,Asia,Theropod dinosaur,2009?,China,Medium predator,Medium,https://en.wikipedia.org/wiki/Shidaisaurus,1012
Duriavenator,Duriavenator,Dorset hunter,Carnivore,-7.5,1000.0,2.8,Bipedal,Middle Jurassic (Bathonian),Europe (England),,2008,"Oxford Clay, Dorset, England",Strong jaws; formerly Megalosaurus hesperis,High,https://en.wikipedia.org/wiki/Duriavenator,556
Indosaurus,Indosaurus,Indian lizard,carnivore,7.0,1500.0,2.5,,Late Cretaceous,Asia (India),Theropod related to abelisaurids,1933,India,Short snout and stocky build,Medium,https://en.wikipedia.org/wiki/Indosaurus,681
Eosinopteryx,Eosinopteryx,dawn Chinese wing,Carnivore,0.3,0.2,0.25,Bipedal,Late Jurassic (Oxfordian),Asia (China),Small feathered theropod; flightless,2013,"Tiaojishan Formation, Liaoning",Has feathers but likely could not fly,High,https://en.wikipedia.org/wiki/Eosinopteryx,577
Tichosteus,Tichosteus,Tichosteus (hairy bone)  ,Herbivore,3.0,50.0,,Bipedal,late jurassic,Europe,Theropod dinosaur,1878,Europe,Small herbivore,Medium,https://en.wikipedia.org/wiki/Tichosteus,1109
Citipes,Citipes,Citi foot,carnivore,2.0,50.0,1.0,Bipedal,Late Cretaceous,North America,Theropod dinosaur,around 2017,USA,Small theropod,Small,https://en.wikipedia.org/wiki/Citipes,1266
Xixiasaurus,Xixiasaurus,Xixia lizard,Carnivore,3.0,unknown,1.0,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,around 2010,China,Small predator,Unknown,https://en.wikipedia.org/wiki/Xixiasaurus,1183
Dakotadon,Dakotadon,tooth from Dakota,Herbivore,6.0,19822.7,2.0,Bipedal,Early Cretaceous (Aptian),"North America (South Dakota, USA)",Iguanodontid formerly included in Iguanodon,2002,"Lakota Formation, South Dakota",Reclassification based on partial skull,Medium,https://en.wikipedia.org/wiki/Dakotadon,524
Suuwassea,Suuwassea,Suuwassea  ,Herbivore,9.0,3500.0,~3.0,Quadrupedal,Late Jurassic,North America,Sauropod dinosaur,2004,USA,Medium sauropod,medium,http//invalid-url,1059
Dinheirosaurus,Dinheirosaurus,from Dinheiro,Herbivore,25.0,18000.0,5.0,Quadrupedal,Late Jurassic (Kimmeridgian–Tithonian),Europe (Portugal),Diplodocid sauropod with long tail,1999,"Lourinhã Formation, Portugal",May be related to Supersaurus,Low,http://en.wikipedia.org/wiki/Dinheirosaurus,540
Yunxianosaurus,Yunxianosaurus,Yunxian lizard,Herbivore,9.0,5000.0,3.0,Quadrupedal,Late Jurassic,Asia,Sauropod dinosaur,2010,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Yunxianosaurus,1194
Leinkupal,Leinkupal,"Leinkupal (""vanishing"")",Carnivore,,,,Bipedal,Late Cretaceous,South America,Titanosaurian theropod,2014,Argentina,Only known South American diplodocoid,Medium,https://en.wikipedia.org/wiki/Leinkupal,748
Scutellosaurus (not to be confused with Scutosaurus),Scutellosaurus,Small shield lizard,HERBIVORE,1.2,50.0,5.72,Bipedal,Early Jurassic,North America,Thyreophoran dinosaur,1981,USA,Small armored dinosaur,Small,https://en.wikipedia.org/wiki/Scutellosaurus,1466
Chasmosaurinae,Chasmosaurinae,opening lizards,HERBIVORE,,,,Quadripedal,Late Cretaceous (Campanian–Maastrichtian),"North America (USA, Canada, Mexico)",Subfamily of ceratopsids with long frills and small nasal horns,Defined 1915,"Various formations (e.g., Kirtland, Dinosaur Park)","Includes Triceratops, Chasmosaurus, etc.",Medium,https://en.wikipedia.org/wiki/Chasmosaurinae,484
Dubreuillosaurus,Dubreuillosaurus,Near horned face,HERBIVORE,6.0,2000.0,2.0,Quadrupedal,Late Cretaceous,Canada,Horned face,1912,Canada,Large frill,Low,https://en.wikipedia.org/wiki/Dubreuillosaurus,95
Siamotyrannus,Siamotyrannus,Siam tyrant,Carnivore,8.0,1500.0,3.0,Bipedal,Early Cretaceous,Asia,Tyrannosauroid theropod,1996,,Large early tyrannosauroid,Medium,https://en.wikipedia.org/wiki/Siamotyrannus,1020
Echinodon,Echinodon,hedgehog tooth,Herbivore,0.6,1.0,0.3,Bipedal,Early Cretaceous (Berriasian),Europe (England),,1861,"Purbeck Beds, Dorset, England",One of the earliest known ornithischians,Unknown,https://en.wikipedia.org/wiki/Echinodon,563
Chucarosaurus,Chucarosaurus,Chucaro lizard,HERBIVORE,9.0,8000.0,3.0,Quadrupedal,Late Cretaceous ,South America,Sauropod dinosaur,2019,Argentina,Medium-large sauropod,Medium,https://en.wikipedia.org/wiki/Chucarosaurus,1264
Laosaurus,Laosaurus,Stone lizard,Herbivore,2.0,,0.7,Bipedal,Late Jurassic,North America,Ornithopod dinosaur,1878,USA,Small herbivore,Medium,https://en.wikipedia.org/wiki/Laosaurus,742
Oohkotokia,Oohkotokia,Oohkotok (Native American tribe),Herbivore,6.0,1500.0,2.0,Quadrupedal,Late Cretaceous,North America,Ankylosaurid dinosaur,01/01/2009,USA,Well-armored ankylosaur,Unknown,https://en.wikipedia.org/wiki/Oohkotokia,863
Pantydraco,Pantydraco,Panty dragon,Herbivore,2.0,15.0,1.0,Bipedal,Late Triassic ,Europe,PROSAUROPOD DINOSAUR,1998,UK,Small early sauropodomorph,Unknown,https://en.wikipedia.org/wiki/Pantydraco,-891
Sinovenator,Sinovenator,Chinese hunter  ,Carnivore,2.0,40.0,1.0,Bipedal,Late Cretaceous,Asia,Troodontid dinosaur,c. 2007,China,Small predator,Medium,https://en.wikipedia.org/wiki/Sinovenator,1038
Opisthocoelicaudia,Opisthocoelicaudia,Posterior cavity tail,Herbivore,11.0,25000.0,5.0,Quadrupedal,Late Cretaceous,Mongolia,May have used tail as defense,1965,"Nemegt Basin, Mongolia",Unique tail vertebrae,Low,http://en.wikipedia.org/wiki/Opisthocoelicaudia,206
Aristosuchus,Aristosuchus,noble crocodile,Carnivore,2.0,30.0,0.8,Bipedal,Early Cretaceous (Barremian),Europe (England),Small coelurosaur theropod,1876,"Wessex Formation, Isle of Wight",Lightweight build; possibly related to Compsognathus,Medium,https://en.wikipedia.org/wiki/Aristosuchus,392
Marisaurus,Marisaurus,Mari lizard,Herbivore,10.0,5000.0,4.5, Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,1998,Argentina,Large sauropod,Unknown,https://en.wikipedia.org/wiki/Marisaurus,794
Orthogoniosaurus,Orthogoniosaurus,Straight angled lizard,Carnivore,4.0,200.0,1.2,,Late Cretaceous,Asia (India),Theropod dinosaur,1933,India,Medium-sized predator,Unknown,https://en.wikipedia.org/wiki/Orthogoniosaurus,870
Asiatosaurus,Asiatosaurus,Asian lizard,HERBIVORE,15.0,12000.0,5.5,Quadrupedal,Early Cretaceous (Barremian),"Asia (China, Mongolia)",Early sauropod; based on limited jaw material,1959,"Inner Mongolia, China",One of the first named Asian dinosaurs,Low,https://en.wikipedia.org/wiki/Asiatosaurus,397
Lirainosaurus,Lirainosaurus,Slender lizard,Herbivore,6.0,unknown,3.5,Quadrupedal,Late Cretaceous,Europe (Spain),Titanosaurian sauropod,1999,Spain,Small European titanosaur,Medium,https://en.wikipedia.org/wiki/Lirainosaurus,766
Rugocaudia,Rugocaudia,Rugose tail,Herbivore,15.0,18000.0,,,Late Cretaceous,North America,Sauropod dinosaur,2015,USA,Large sauropod,,https://en.wikipedia.org/wiki/Rugocaudia,1456
Beibeilong,Beibeilong,Beibei dragon,Herbivore,8.5,4000.0,3.0,Quadrupedal,Late Cretaceous,Asia,,2017?,China,Medium sauropod,Medium,https://en.wikipedia.org/wiki/Beibeilong,1241
Sinocalliopteryx,Sinocalliopteryx,Chinese beautiful wing  ,Carnivore,2.4,20.0,0.7,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2007,,Medium predator,Medium,https://en.wikipedia.org/wiki/Sinocalliopteryx,1028
Hadrosauridae,Hadrosauridae,hadrosaur family,Herbivore,10.0,6000.0,3.5,Quadrupedal/Bipedal,Late Cretaceous,Global,Widespread family of duck-billed dinosaurs,Various,Worldwide,Famous for complex dental batteries and crests,Low,https://en.wikipedia.org/wiki/Hadrosauridae,642
Galvesaurus,Galvesaurus,Galve lizard,HERBIVORE,17.0,10000.0,4.0,Quadrupedal,Late Jurassic (Kimmeridgian),Europe (Spain),Turiasaurs or basal macronarian sauropod,2005,"Galve region, Spain",Important for European sauropod diversity,Low,https://en.wikipedia.org/wiki/Galvesaurus,612
Quetecsaurus,Quetecsaurus,Quetec lizard,Herbivore,10.0,3500.0,3.0,Quadrupedal,Late Cretaceous,North America,Sauropod dinosaur,2016,Mexico,Large sauropod,Medium,https://en.wikipedia.org/wiki/Quetecsaurus,960
Kryptops,Kryptops,Hidden face,Carnivore,,1500.0,2.0,Bipedal,Late Cretaceous,Africa,,2008,Niger,"Robust skull, early abelisaurid",Medium,https://en.wikipedia.org/wiki/Kryptops,725
Isaberrysaura,Isaberrysaura,Isabel's lizard,Omnivore,5.0,1200.0,2.0,Bipedal,Early Jurassic,South America,Unusual herbivore with omnivorous traits,2017,Argentina,Combination of theropod and ornithischian features,Medium,https://en.wikipedia.org/wiki/Isaberrysaura,683
Einiosaurus,Einiosaurus,Fused lizard,Herbivore,6.0,"6,000 kg",1.7,Quadrupedal,Late Cretaceous,North America,,1908,Canada,Club tail,Medium,https://en.wikipedia.org/wiki/Einiosaurus,98
Microcephale,Microcephale,Small head,HERBIVORE,0.6,2.5,0.2,Bipedal,Late Cretaceous,North America,Pachycephalosaurid dinosaur,1997,USA,Small dome-headed dinosaur,Unknown,https://en.wikipedia.org/wiki/Microcephale,804
Augustynolophus,Augustynolophus,Augustyn's crested lizard,Herbivore,9.0,3500.0,3.5,Quadrupedal,Late Cretaceous (Maastrichtian),"North America (California, USA)",Lambeosaurine hadrosaur with nasal crest,2014,"Mount Diablo Formation, California",State dinosaur of California; hollow crest,Medium,https://en.wikipedia.org/wiki/Augustynolophus,406
Clasmodosaurus,Clasmodosaurus,fragment tooth lizard,Herbivore,,,,Quadrupedal,Late Cretaceous (Campanian),South America (Argentina),Fragmentary sauropod genus; poorly known,1893,"Neuquén Province, Argentina",Tooth-based identification; nomen dubium,Unknown,https://en.wikipedia.org/wiki/Clasmodosaurus,502
Taohelong,Taohelong,Taohe dragon  ,Carnivore,6.0,400.0,2.0,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2019,China,Medium predator,Medium,https://en.wikipedia.org/wiki/Taohelong,1071
Suchosaurus,Suchosaurus,Crocodile lizard  ,Carnivore,about 8.0m,3000.0,3.5,Bipedal,Jurassic,Europe,Spinosaurid dinosaur,1841,UK,Large predator,,https://en.wikipedia.org/wiki/Suchosaurus,1056
Postosuchus,Postosuchus,Post crocodile,Carnivore,5.0,600.0,2.0,Bipedal,Late Triassic,North America,Pseudosuchian archosaur,1937,USA,Top predator of its time,Medium,https://en.wikipedia.org/wiki/Postosuchus,929
Macrogryphosaurus,Macrogryphosaurus,Large curved lizard,Herbivore,6.0,300.0,2.0,Bipedal,Late Cretaceous,South America,Iguanodontian ornithopod  ,2007,Argentina,Well-armored herbivore,Medium,https://en.wikipedia.org/wiki/Macrogryphosaurus,779
Noasaurus,Noasaurus,Alvarez's lizard,Carnivore,2.0,20.0,,Bipedal,Late Cretaceous,Argentina,Small predator,around 1991,Argentina,Tiny arms,Medium,en.wikipedia.org/wiki/Noasaurus,200
Harpymimus,Harpymimus,Almond tooth,HERBIVORE,12.0,3000.0,3.0,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low,https://en.wikipedia.org/wiki/Harpymimus,134
Stegosaurides,Stegosaurides,Stegosaur-like  ,Herbivore,7.0,3000.0,3.0,Quadrupedal,Cretaceous,Asia,Possible stegosaurian,Unknown,China,Uncertain classification,Unknown,https://en.wikipedia.org/wiki/Stegosaurides,1051
Bagaceratops,Bagaceratops,Alvarez's lizard,carnivore,1.0,22.0,0.5,Bipedal,Late Cretaceous,Argentina,Small predator,1991,Argentina,Tiny arms,Medium,https://en.wikipedia.org/wiki/Bagaceratops,40
Shuvuuia,Shuvuuia,Bird,Carnivore,0.6,3.0,0.3,Bipedal,Late Cretaceous,Asia,Alvarezsaurid theropod,1998,Mongolia,Small predator,Medium,https://en.wikipedia.org/wiki/Shuvuuia,1017
Qianzhousaurus,Qianzhousaurus,Qianzhou lizard,Carnivore,9.0,1500.0,3.0,Bipedal,Late Cretaceous,China,"Nicknamed 'Pinocchio rex', long-snouted tyrannosaur",2014,"Jiangxi Province, China","Slender skull, long snout",Medium,https://en.wikipedia.org/wiki/Qianzhousaurus,230
Antetonitrus,Antetonitrus,before thunder,Herbivore,10.0,5000.0,4.5,Quadrupedal,Triassic (Norian),Africa (South Africa),Early sauropodomorph; transitional features  ,2003,"Elliot Formation, South Africa",Combined traits of prosauropods and sauropods,Low ,https://en.wikipedia.org/wiki/Antetonitrus,378
Yueosaurus,Yueosaurus tiantaiensis,Yue lizard,HERBIVORE,,20.0,0.6,Bipedal,Early Cretaceous,China,Basal ornithopod from Zhejiang,2012,"Zhejiang, China",Slender limbs and primitive features,Medium,,288
Bajadasaurus,Bajadasaurus,Bajada lizard,Herbivore,9.0,3500.0,3.5,Quadrupedal,Early Cretaceous (Barremian),South America (Argentina),Dicraeosaurid with long forward-curving neck spines,2019,"Bajada Colorada Formation, Argentina",Neck spines likely defensive; short skull,Low,en.wikipedia.org/wiki/Bajadasaurus,418
Argyrosaurus,Argyrosaurus,silver lizard,Herbivore,20.0,15000.0,6.0,Quadrupedal,Late Cretaceous (Campanian–Maastrichtian),South America (Argentina),LARGE TITANOSAUR SAUROPOD WITH MASSIVE SIZE,1893,Argentina,Very long tail and neck; large limb bones,,https://en.wikipedia.org/wiki/Argyrosaurus,391
Eugongbusaurus,Eugongbusaurus,true Gongbu lizard,Herbivore,3.5,300.0,1.5,Bipedal,Middle Jurassic (Bathonian),Asia (China),Ornithopod; possibly misclassified with confusion over naming,2007,"Shaximiao Formation, Sichuan",Poorly understood genus; possible juvenile specimen,Unknown,https://en.wikipedia.org/wiki/Eugongbusaurus,592
Vouivria,Vouivria,Vouivria lizard,Herbivore,15.0,9000.0,5.0,Quadrupedal,Late Jurassic,Europe,Sauropod dinosaur,2017,France,Large sauropod,Large,https://en.wikipedia.org/wiki/Vouivria,11162
Teinurosaurus,Teinurosaurus,Teinurosaurus  ,Carnivore,6.0,400.0,2.0,Bipedal,Late Jurassic,Europe,,1939,,Medium predator,Medium,https://en.wikipedia.org/wiki/Teinurosaurus,1086
Hanssuesia,Hanssuesia,named after Hans Sues,Herbivore,5.0,1500.0,1.3,Quadrupedal,Late Cretaceous (Campanian),North America (Canada),Pachycephalosaurid with dome-shaped skull,1992,"Alberta, Canada","Thick domed skull, possibly used in head-butting",Low,https://en.wikipedia.org/wiki/Hanssuesia,647
Variraptor,Variraptor,Vari thief,Carnivore,,300.0,1.2,Bipedal,Late Cretaceous,Europe,  ,2003,France,Medium theropod,Medium,https://en.wikipedia.org/wiki/Variraptor,1152
Liaoningotitan,Liaoningotitan,Liaoning titan,HERBIVORE,22.0,28000.0,6.5,quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2019,China,Large sauropod,Large,https://en.wikipedia.org/wiki/Liaoningotitan,1367
Daanosaurus,Daanosaurus,Da’an lizard,Herbivore,5.0,900.0,2.5,Quadrupedal,Jurassic (Tithonian),Asia (China),Basal sauropod known from juvenile specimen,2005,"Shaximiao Formation, Sichuan Province",Possibly related to mamenchisaurids,Medium,https://en.wikipedia.org/wiki/Daanosaurus,520
Chasmosaurus,Chasmosaurus,Almond tooth,HERBIVORE,12.0,3000.0,3.0,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low,https://en.wikipedia.org/wiki/Chasmosaurus,64
Amargasaurus,Amargasaurus,Almond tooth,Herbivore,10.0,5000.0,4.5,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low,https://en.wikipedia.org/wiki/Amargasaurus,14
Xinjiangtitan,Xinjiangtitan,Xinjiang titan,Herbivore,,30000.0,6.0,QUADRUPEDAL,Late Jurassic,Asia,Sauropod dinosaur,2013,China,Large sauropod,,https://en.wikipedia.org/wiki/Xinjiangtitan,1180
Szechuanosaurus,Szechuanosaurus,Szechuan lizard  ,Carnivore,6.0,800 kg,2.5,Bipedal,Late Jurassic,Asia,Theropod dinosaur,1953,China,Medium predator,Medium,https://en.wikipedia.org/wiki/Szechuanosaurus,1064
Chondrosteosaurus,Chondrosteosaurus,cartilage and bone lizard,Herbivore,15.0,10000.0,5.0,Quadrupedal,Early Cretaceous (Barremian),Europe (England),Macronarian sauropod; named from vertebrae,1876,"Isle of Wight, UK",Internal vertebra cavities; originally thought pneumatic,Low,https://en.wikipedia.org/wiki/Chondrosteosaurus,492
Antrodemus,Antrodemus,chambered body,carnivore,9.0,2000.0,3.0,Bipedal,Late Jurassic (Kimmeridgian),North America (USA),Possibly a synonym of Allosaurus,around 1870,,Single vertebra; taxonomic status uncertain,Medium,https://en.wikipedia.org/wiki/Antrodemus,379
Microraptor,Microraptor,Near lizard,Herbivore,,50.0,1.0,Bipedal,Early Jurassic,USA,Small herbivore,1818,USA,Small body,Medium,https://en.wikipedia.org/wiki/Microraptor,187
Linhenykus,Linhenykus,Linhe claw,,1.0,3.0,0.3,Bipedal,Late Cretaceous,Asia (China),"Small, specialized alvarezsaurid",2010,China,Single large claw on hand,MEDIUM,https://en.wikipedia.org/wiki/Linhenykus,763
Othnielia,Othnielia,Named after Othniel Charles Marsh,Herbivore,1.5,15.0,,Bipedal,Late Jurassic,North America,Small and agile,around 1977,"Wyoming, USA","Fast runner, small ornithopod",Medium,https://en.wikipedia.org/wiki/Othnielia,216
Mantellisaurus,Mantellisaurus,Mantell's lizard,Herbivore,6.0,1200.0,2.0,,Early Cretaceous,Europe,Ornithopod dinosaur,2007,UK,Medium-sized herbivore,Medium ,https://en.wikipedia.org/wiki/Mantellisaurus,791
Tastavinsaurus,Tastavinsaurus,Tastavin lizard  ,Herbivore,20.0,12000.0,6.0,Quadrupedal,Early Cretaceous ,Europe,Sauropod dinosaur,2006,Spain,Large sauropod,Medium,https://en.wikipedia.org/wiki/Tastavinsaurus,1076
Owenodon,Owenodon,Owen's tooth,Herbivore,5.0,500.0,1.5,Bipedal,late cretaceous,Europe,Iguanodontian dinosaur,1889,UK,Medium-sized herbivore,Unknown,https://en.wikipedia.org/wiki/Owenodon,878
